frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.24, 0.00, 0.00, 0.00, 0.00, 0.13, 0.00, 0.42, 0.55, 0.29, 0.36, 0.00, 0.00, 0.10, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0.000,  0.98,  1, 0.02, 0.00, 0.00, 0.16, 0.00, 0.00, 0.00, 0.02, 0.16, 0.00, 0.30, 0.33, 0.20, 0.13, 0.05, 0.47, 0.09, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0.000,  0.98,  1, 0.02, 0.00, 0.02, 0.09, 0.00, 0.00, 0.00, 0.02, 0.21, 0.00, 0.25, 0.14, 0.11, 0.01, 0.30, 0.76, 0.18, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
4,  0.000,  0.98,  1, 0.00, 0.00, 0.05, 0.02, 0.00, 0.00, 0.00, 0.03, 0.23, 0.00, 0.29, 0.02, 0.00, 0.00, 0.54, 1.08, 0.21, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
5,  0.000,  0.98,  1, 0.00, 0.00, 0.17, 0.00, 0.00, 0.00, 0.00, 0.01, 0.30, 0.00, 0.26, 0.05, 0.01, 0.00, 0.92, 1.21, 0.57, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
6,  0.000,  0.98,  1, 0.21, 0.00, 0.47, 0.00, 0.00, 0.06, 0.00, 0.01, 0.38, 0.00, 0.23, 0.05, 0.01, 0.00, 1.09, 1.29, 1.22, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
7,  0.000,  0.98,  1, 0.56, 0.00, 0.77, 0.00, 0.00, 0.06, 0.00, 0.00, 0.52, 0.00, 0.17, 0.03, 0.01, 0.00, 1.27, 1.20, 2.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
8,  0.000,  0.98,  1, 0.81, 0.00, 0.94, 0.00, 0.00, 0.13, 0.00, 0.00, 0.60, 0.08, 0.14, 0.04, 0.04, 0.00, 1.27, 1.10, 2.76, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
9,  0.000,  0.98,  1, 0.66, 0.00, 0.77, 0.00, 0.00, 0.22, 0.00, 0.11, 0.63, 0.12, 0.14, 0.09, 0.04, 0.00, 1.13, 1.13, 2.68, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
10,  0.000,  0.98,  1, 0.31, 0.00, 0.55, 0.00, 0.00, 0.22, 0.00, 0.13, 0.63, 0.17, 0.10, 0.10, 0.04, 0.00, 0.95, 1.06, 2.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
11,  0.000,  0.98,  1, 0.06, 0.00, 0.33, 0.00, 0.00, 0.15, 0.00, 0.24, 0.66, 0.21, 0.07, 0.06, 0.00, 0.00, 0.79, 0.95, 1.32, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
12,  0.000,  0.98,  1, 0.00, 0.00, 0.20, 0.00, 0.00, 0.00, 0.00, 0.26, 0.72, 0.32, 0.01, 0.01, 0.00, 0.00, 0.78, 0.65, 0.85, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
13,  0.000,  0.98,  1, 0.00, 0.00, 0.08, 0.00, 0.00, 0.00, 0.00, 0.42, 0.78, 0.37, 0.01, 0.00, 0.00, 0.00, 0.84, 0.46, 0.63, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
14,  0.000,  0.98,  1, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.48, 0.82, 0.37, 0.00, 0.00, 0.00, 0.00, 0.91, 0.27, 0.45, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
15,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.56, 0.84, 0.38, 0.00, 0.00, 0.00, 0.00, 0.89, 0.22, 0.24, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
16,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.56, 0.82, 0.40, 0.00, 0.00, 0.00, 0.00, 0.84, 0.10, 0.10, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
17,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.52, 0.82, 0.36, 0.00, 0.00, 0.00, 0.00, 0.76, 0.10, 0.04, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
18,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.50, 0.78, 0.23, 0.00, 0.01, 0.00, 0.00, 0.75, 0.06, 0.07, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
19,  0.000,  0.93,  1, 0.00, 0.00, 0.02, 0.02, 0.00, 0.00, 0.00, 0.53, 0.79, 0.13, 0.00, 0.01, 0.00, 0.00, 0.76, 0.08, 0.03, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
20,  0.000,  0.98,  1, 0.00, 0.00, 0.04, 0.02, 0.00, 0.00, 0.00, 0.58, 0.83, 0.14, 0.00, 0.01, 0.00, 0.00, 0.83, 0.08, 0.06, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
